type,location,line number,code
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Layout/Carousel/Paginated.vue,9,"<div class=""w-full text-left [&>span]:bg-repeat-x [&>span]:bg-[url('/holiday/lime-highlight.png')] [&>span]:bg-[center_top_0.3rem] [&>span]:bg-[length:70%]"" v-html=""i.text""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Layout/Footer/footerCarousel.vue,44,"<div class=""text-[15px] text-left"" :class=""item.customClass"" v-html=""item.alt""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Layout/Footer/footerCarousel.vue,66,"v-html=""item.alt"""
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/HealthQuiz/v2/Step10.vue,110,"<p class=""standard-paragraph tracking-[0.01em] lg:text-[28px] lg:leading-[32px]"" v-html=""item.text""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/HealthQuiz/v3/how.vue,35,"<p class=""text-[c alc(16px*1.2)] leading-[25px] tracking-[0.01em] lg:text-[24px] lg:leading-[28px]"" v-html=""item.text""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Forms/MealPlanner.vue,59,"<p v-html=""successMessage"" class=""uppercase font-atten-medium text-center mb-7 text-[16px] leading-[18px] tracking-[0.15em] tablet-sm:text-[24px] tablet-sm:leading-[28px]""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Shop/ProductCard.vue,8,"<p class=""font-atten text-xs leading-4 text-[#19191C] md:text-sm [&>*]:!font-atten"" v-html=""product.pricePerUse ?? product.price""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/StandardSectionV2.vue,6,"<h3 v-if=""content.sectionName || content.title"" v-html=""content.sectionName || content.title""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/StandardSectionV2.vue,7,"<h4 v-if=""content.subHeader || content.subTitle"" class="""" v-html=""content.subHeader || content.subTitle""></h4>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/StandardSectionV2.vue,15,"<p v-if=""content.description"" class=""description uppercase text-2xl font-atten-medium text-black tracking-[3.6px]"" v-html=""content.description""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/TestimonialCarousel.vue,6,"v-html=""content.sectionName"""
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/TestimonialCarousel.vue,8,"<h4 v-if=""content.subHeader"" class=""font-atten uppercase text-2xl desktop-sm:text-[32px] desktop-sm:leading-[30px] tracking-[5.76px] mb-10"" v-html=""content.subHeader""></h4>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/TestimonialCarousel.vue,20,"<div class=""text-2xl font-atten text-plum text-center mt-5"" v-html=""item.subTitle""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/StandardSection.vue,13,"v-html=""content.subHeader ? content.subHeader : content.subTitle"""
